Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Parental Bonding Showpiece - Set Of Two,Iron,₹647,https://vaaree.com/products/parental-bonding-showpiece-set-of-two,"₹1,100",42% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3,1 Reviews
Owl Play Showpiece,Polyresin,₹849,https://vaaree.com/products/owl-play-showpiece,"₹1,274",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3.3,4 Reviews
Gramophone Vibes Showpiece,Brass,₹378,https://vaaree.com/products/gramophone-vibes-showpiece,₹567,34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",2.4,17 Reviews
Literary Escape Typography Showpiece - Set Of Two,Iron,₹485,https://vaaree.com/products/literary-escape-typography-showpiece-set-of-two,₹900,47% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,2 Reviews
Graceful Elegance Showpiece - Set Of Two,Iron,₹647,https://vaaree.com/products/graceful-elegance-showpiece-set-of-two,"₹1,100",42% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",4.2,5 Reviews
Whimsy Paperbag Vase - Blue,Ceramic,₹564,https://vaaree.com/products/whimsy-paperbag-vase-blue,"₹2,000",72% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,2 Reviews
Fika Vases - Set of Two,Ceramic,₹899,https://vaaree.com/products/fika-vases-set-of-two,"₹1,499",40% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3.4,9 Reviews
Baby Monk Showpiece,Polyresin,₹260,https://vaaree.com/products/baby-monk-showpiece,"₹1,299",80% off,"Mon, 3rd Mar","Showpieces, Vases & Accent Bowls",4.6,8 Reviews
The Faces Vases - Set of Two,Ceramic,"₹1,499",https://vaaree.com/products/the-faces-vases-set-of-two,"₹2,499",40% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,2 Reviews
Law and Order Showpiece - Set Of Two,Iron,₹526,https://vaaree.com/products/law-and-order-showpiece-set-of-two,₹950,45% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Gramaphone Antique Showpiece,Brass,₹500,https://vaaree.com/products/gramaphone-antique-showpiece,"₹1,199",59% off,"Mon, 3rd Mar","Showpieces, Vases & Accent Bowls",2,3 Reviews
Dreams to Reality Typography Showpiece - Set Of Two,Iron,₹485,https://vaaree.com/products/dreams-to-reality-typography-showpiece-set-of-two,₹900,47% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",Inclusive of all taxes,Orders more than 10 Items?
Leafy Twist Ceramic Vase,Ceramic,₹724,https://vaaree.com/products/leafy-twist-ceramic-vase,"₹4,000",82% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",Inclusive of all taxes,Orders more than 10 Items?
Baby Monk Showpiece - Set Of Four,Polyresin,₹520,https://vaaree.com/products/baby-monk-showpiece-set-of-four,₹999,48% off,Delivery Today,"Showpieces, Vases & Accent Bowls",4.6,5 Reviews
Melrose Tribal Terracotta Vase - Set Of Three,Terracotta,"₹1,385",https://vaaree.com/products/melrose-tribal-terracotta-vase-set-of-three,"₹1,849",26% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",2.9,7 Reviews
Meow Showpiece - Black,Resin,"₹1,199",https://vaaree.com/products/meow-showpiece-black,"₹1,799",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",1.7,3 Reviews
Spunky Splash Vase - White,Ceramic,₹770,https://vaaree.com/products/spunky-splash-vase-white,"₹2,900",74% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Cricketer Showpiece - Set Of Two,Iron,₹526,https://vaaree.com/products/cricketer-showpiece-set-of-two,₹950,45% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",4.3,7 Reviews
Panther Art Grace Showpiece,Resin,"₹1,199",https://vaaree.com/products/panther-art-grace-showpiece,"₹1,799",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",1,1 Reviews
Spill The Milk Showpiece,Resin,₹999,https://vaaree.com/products/spill-the-milk-showpiece,"₹1,499",34% off,"Sat, 1st Mar","Showpieces, Vases & Accent Bowls",2,3 Reviews
Simplicity with Significance Typography Showpiece - Set Of Two,Iron,₹485,https://vaaree.com/products/simplicity-with-significance-typography-showpiece-set-of-two,₹900,47% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Deer Repose Showpiece (Green) - Set Of Two,Resin,₹999,https://vaaree.com/products/deer-repose-showpiece-green-set-of-two,"₹1,499",34% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",3,4 Reviews
Master Of Sea Showpiece,Metal,"₹2,399",https://vaaree.com/products/master-of-sea-showpiece,"₹3,999",40% off,Delivery Tomorrow,"Showpieces, Vases & Accent Bowls",5,1 Reviews
Sweethearts Showpiece - Gold,Aluminum,₹795,https://vaaree.com/products/sweethearts-showpiece-gold,"₹3,180",75% off,"Mon, 3rd Mar","Showpieces, Vases & Accent Bowls",5,1 Reviews
